event,content_url,content
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/general-philosophy/prepare-for-failure,"
Any non-trivial contract will have errors in it. Your code must, therefore, be able to respond to
bugs and vulnerabilities gracefully.

Pause the contract when things are going wrong ('circuit breaker')
Manage the amount of money at risk (rate limiting, maximum usage)
Have an effective upgrade path for bugfixes and improvements

"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/general-philosophy/stay-up-to-date,"
Keep track of new security developments.

Check your contracts for any new bug as soon as it is discovered
Upgrade to the latest version of any tool or library as soon as possible
Adopt new security techniques that appear useful

"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/general-philosophy/simplicity,"
Complexity increases the likelihood of errors.

Ensure the contract logic is simple
Modularize code to keep contracts and functions small
Use already-written tools or code where possible (eg. don't roll your own random number
  generator)
Prefer clarity to performance whenever possible
Only use the blockchain for the parts of your system that require decentralization

"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/general-philosophy/rollout,"
It is always better to catch bugs before a full production release.

Test contracts thoroughly, and add tests whenever new attack vectors are discovered
Provide bug bounties starting from alpha testnet
  releases
Rollout in phases, with increasing usage and testing in each phase

"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/general-philosophy/blockchain-properties,"
While much of your programming experience will be relevant to Ethereum programming, there are some
pitfalls to be aware of.

Be extremely careful about external contract calls, which may execute malicious code and change
  control flow.
Understand that your public functions are public, and may be called maliciously and in any order.
  The private data in smart contracts is also viewable by anyone.
Keep gas costs and the block gas limit in mind.
Be aware that timestamps are imprecise on a blockchain, miners can influence the time of
  execution of a transaction within a margin of several seconds.
Randomness is non-trivial on blockchain, most approaches to random number generation are gameable
  on a blockchain.

"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/general-philosophy/external-calls,"
404 - Not found
"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/general-philosophy/simplicity-vs-complexity,"
Simplicity vs. Complexity
There are multiple fundamental tradeoffs to consider when assessing the structure and security of a
smart contract system. The general recommendation for any smart contract system is to identify the
proper balance for these fundamental tradeoffs.
An ideal smart contract system from a software engineering bias is modular, reuses code instead of
duplicating it, and supports upgradeable components. An ideal smart contract system from a secure
architecture bias may share this mindset, especially in the case of more complex smart contract
systems.
However, there are important exceptions where security and software engineering best practices may
not be aligned. In each case, the proper balance is obtained by identifying the optimal mix of
properties along contract system dimensions such as:

Rigid versus Upgradeable
Monolithic versus Modular
Duplication versus Reuse

Rigid versus Upgradeable¶
While multiple resources, including this one, emphasize malleability characteristics such as
Killable, Upgradeable or Modifiable patterns there is a fundamental tradeoff between malleability
and security.
Malleability patterns by definition add complexity and potential attack surfaces. Simplicity is
particularly effective over complexity in cases where the smart contract system performs a very
limited set of functionality for a pre-defined limited period of time, for example, a
governance-free finite-time-frame token-sale contract system.
Monolithic versus Modular¶
A monolithic self-contained contract keeps all knowledge locally identifiable and readable. While
there are few smart contract systems held in high regard that exist as monoliths, there is an
argument to be made for extreme locality of data and flow - for example, in the case of optimizing
code review efficiency.
As with the other tradeoffs considered here, security best practices trend away from software
engineering best practices in simple short-lived contracts and trend toward software engineering
best practices in the case of more complex perpetual contract systems.
Duplication versus Reuse¶
A smart contract system from a software engineering perspective wishes to maximize reuse where
reasonable. There are many ways to reuse contract code in Solidity. Using proven
previously-deployed contracts which you own is generally the safest manner to achieve code reuse.
Duplication is frequently relied upon in cases where self-owned previously-deployed contracts are
not available. Efforts such as
OpenZeppelin's Solidity Library seek to
provide patterns such that secure code can be re-used without duplication. Any contract security
analysis must include any re-used code that has not previously established a level of trust
commensurate with the funds at risk in the target smart contract system.
"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/development-recommendations/general/external-calls/,"
External Calls
Use caution when making external calls¶
Calls to untrusted contracts can introduce several unexpected risks or errors. External calls may
execute malicious code in that contract or any other contract that it depends upon. As such,
every external call should be treated as a potential security risk. When it is not possible, or
undesirable to remove external calls, use the recommendations in the rest of this section to
minimize the danger.

Mark untrusted contracts¶
When interacting with external contracts, name your variables, methods, and contract interfaces in
a way that makes it clear that interacting with them is potentially unsafe. This applies to your
own functions that call external contracts.
// bad
Bank.withdraw(100); // Unclear whether trusted or untrusted

function makeWithdrawal(uint amount) { // Isn't clear that this function is potentially unsafe
    Bank.withdraw(amount);
}

// good
UntrustedBank.withdraw(100); // untrusted external call
TrustedBank.withdraw(100); // external but trusted bank contract maintained by XYZ Corp

function makeUntrustedWithdrawal(uint amount) {
    UntrustedBank.withdraw(amount);
}


Avoid state changes after external calls¶
Whether using raw calls (of the form someAddress.call()) or contract calls (of the form
ExternalContract.someMethod()), assume that malicious code might execute. Even if
ExternalContract is not malicious, malicious code can be executed by any contracts it calls.
One particular danger is malicious code may hijack the control flow, leading to vulnerabilities due
to reentrancy. (See Reentrancy for a fuller discussion of this
problem).
If you are making a call to an untrusted external contract, avoid state changes after the call.
This pattern is also sometimes known as the
checks-effects-interactions pattern.
See SWC-107

Don't use transfer() or send().¶
.transfer() and .send() forward exactly 2,300 gas to the recipient. The goal of this hardcoded
gas stipend was to prevent reentrancy vulnerabilities, but this only
makes sense under the assumption that gas costs are constant. Recently
EIP 1884 was included in the Istanbul hard fork. One of
the changes included in EIP 1884 is an increase to the gas cost of the SLOAD operation, causing a
contract's fallback function to cost more than 2300 gas.
It's recommended to stop using .transfer() and .send() and instead use .call().
// bad
contract Vulnerable {
    function withdraw(uint256 amount) external {
        // This forwards 2300 gas, which may not be enough if the recipient
        // is a contract and gas costs change.
        msg.sender.transfer(amount);
    }
}

// good
contract Fixed {
    function withdraw(uint256 amount) external {
        // This forwards all available gas. Be sure to check the return value!
        (bool success, ) = msg.sender.call.value(amount)("""");
        require(success, ""Transfer failed."");
    }
}

Note that .call() does nothing to mitigate reentrancy attacks, so other precautions must be
taken. To prevent reentrancy attacks, it is recommended that you use the
checks-effects-interactions pattern.

Handle errors in external calls¶
Solidity offers low-level call methods that work on raw addresses: address.call(),
address.callcode(), address.delegatecall(), and address.send(). These low-level methods never
throw an exception, but will return false if the call encounters an exception. On the other hand,
contract calls (e.g., ExternalContract.doSomething()) will automatically propagate a throw (for
example, ExternalContract.doSomething() will also throw if doSomething() throws).
If you choose to use the low-level call methods, make sure to handle the possibility that the call
will fail, by checking the return value.
// bad
someAddress.send(55);
someAddress.call.value(55)(""""); // this is doubly dangerous, as it will forward all remaining gas and doesn't check for result
someAddress.call.value(100)(bytes4(sha3(""deposit()""))); // if deposit throws an exception, the raw call() will only return false and transaction will NOT be reverted

// good
(bool success, ) = someAddress.call.value(55)("""");
if(!success) {
    // handle failure code
}

ExternalContract(someAddress).deposit.value(100)();

See SWC-104

Favor pull over push for external calls¶
External calls can fail accidentally or deliberately. To minimize the damage caused by such
failures, it is often better to isolate each external call into its own transaction that can be
initiated by the recipient of the call. This is especially relevant for payments, where it is
better to let users withdraw funds rather than push funds to them automatically. (This also reduces
the chance of problems with the gas limit.) Avoid
combining multiple ether transfers in a single transaction.
// bad
contract auction {
    address highestBidder;
    uint highestBid;

    function bid() payable {
        require(msg.value >= highestBid);

        if (highestBidder != address(0)) {
            (bool success, ) = highestBidder.call.value(highestBid)("""");
            require(success); // if this call consistently fails, no one else can bid
        }

       highestBidder = msg.sender;
       highestBid = msg.value;
    }
}

// good
contract auction {
    address highestBidder;
    uint highestBid;
    mapping(address => uint) refunds;

    function bid() payable external {
        require(msg.value >= highestBid);

        if (highestBidder != address(0)) {
            refunds[highestBidder] += highestBid; // record the refund that this user can claim
        }

        highestBidder = msg.sender;
        highestBid = msg.value;
    }

    function withdrawRefund() external {
        uint refund = refunds[msg.sender];
        refunds[msg.sender] = 0;
        (bool success, ) = msg.sender.call.value(refund)("""");
        require(success);
    }
}

See SWC-128

Don't delegatecall to untrusted code¶
The delegatecall function is used to call functions from other contracts as if they belong to the
caller contract. Thus the callee may change the state of the calling address. This may be insecure.
An example below shows how using delegatecall can lead to the destruction of the contract and
loss of its balance.
contract Destructor
{
    function doWork() external
    {
        selfdestruct(0);
    }
}

contract Worker
{
    function doWork(address _internalWorker) public
    {
        // unsafe
        _internalWorker.delegatecall(bytes4(keccak256(""doWork()"")));
    }
}

If Worker.doWork() is called with the address of the deployed Destructor contract as an
argument, the Worker contract will self-destruct. Delegate execution only to trusted contracts,
and never to a user supplied address.

Warning
Don't assume contracts are created with zero balance.  An attacker can send ether to the
address of a contract before it is created so contracts should not assume that their initial state
contains a zero balance. See
issue 61 for more details.
See SWC-112

"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/development-recommendations/precautions/general,"
As we discussed in the General Philosophy section, it is not enough to
protect yourself against the known attacks. Since the cost of failure on a blockchain can be very
high, you must also adapt the way you write software, to account for that risk.
The approach we advocate is to ""prepare for failure"". It is impossible to know in advance whether
your code is secure. However, you can architect your contracts in a way that allows them to fail
gracefully, and with minimal damage. This section presents a variety of techniques that will help
you prepare for failure.
Note: There's always a risk when you add a new component to your system. A badly designed fail-safe
could itself become a vulnerability, as can the interaction between a number of well-designed
fail-safes. Be thoughtful about each technique you use in your contracts, and consider carefully
how they work together to create a robust system.
"
smart-contract-security-best-practices-2,https://consensys.github.io/smart-contract-best-practices/development-recommendations/solidity-specific/assert-require-revert,"
Assert, Require, Revert
Enforce invariants with assert()¶
An assert guard triggers when an assertion fails - such as an invariant property changing. For
example, the token to ether issuance ratio, in a token issuance contract, may be fixed. You can
verify that this is the case at all times with an assert(). Assert guards should often be
combined with other techniques, such as pausing the contract and allowing upgrades. (Otherwise, you
may end up stuck, with an assertion that is always failing.)
Example:
contract Token {
    mapping(address => uint) public balanceOf;
    uint public totalSupply;

    function deposit() public payable {
        balanceOf[msg.sender] += msg.value;
        totalSupply += msg.value;
        assert(address(this).balance >= totalSupply);
    }
}

Note that the assertion is not a strict equality of the balance because the contract can be
forcibly sent ether without going
through the deposit() function!
Use assert(), require(), revert() properly¶

Info
The convenience functions assert and require can be used to check for conditions and throw an exception if the condition is not met.

The assert function should only be used to test for internal errors, and to check invariants.
The require function should be used to ensure valid conditions, such as inputs, or contract state variables are met, or to validate return values from calls to external contracts.
Following this paradigm allows formal analysis tools to verify that the invalid opcode can never be
reached: meaning no invariants in the code are violated and that the code is formally verified.
pragma solidity ^0.5.0;

contract Sharer {
    function sendHalf(address payable addr) public payable returns (uint balance) {
        require(msg.value % 2 == 0, ""Even value required.""); //Require() can have an optional message string
        uint balanceBeforeTransfer = address(this).balance;
        (bool success, ) = addr.call.value(msg.value / 2)("""");
        require(success);
        // Since we reverted if the transfer failed, there should be
        // no way for us to still have half of the money.
        assert(address(this).balance == balanceBeforeTransfer - msg.value / 2); // used for internal error checking
        return address(this).balance;
    }
}

See SWC-110 & SWC-123
"
